Topic_ID,Count,Top_Words
234,43,"18(0.125), este chico(0.049), age(0.043), father(0.037), doesn t(0.032), understand(0.031), he is(0.027), fan i(0.026), old(0.020), apne(0.019)"
235,43,"we were(0.104), arrogant(0.098), biggest(0.081), plays(0.080), the world(0.065), that yamal(0.063), he should(0.058), old(0.054), club(0.039), lucky(0.028)"
236,42,"pobre(0.099), bit(0.098), de jong(0.084), este chico(0.074), niñato(0.043), these(0.039), lamentable(0.037), a los(0.032), baby(0.022), madrid and(0.020)"
237,42,"codazo a(0.119), carbajal(0.118), penalti de(0.109), ladrones(0.086), es muy(0.058), la prensa(0.052), gol(0.024), winner(0.013), was good(0.013), nadie(0.011)"
238,42,"sorry(0.633), rashford(0.095), torres(0.075), jong(0.070), hansi flick(0.067), balde(0.065), fermin(0.051), flick(0.047), join(0.034), yamal lamine(0.031)"
239,42,"gg(0.365), gn(0.324), join(0.214), discord gg(0.208), https discord(0.208), https(0.180), unc(0.106), footem(0.031), gya(0.022), on(0.007)"
240,42,"perdonando(0.162), a yamal(0.079), ficticius(0.074), si el(0.071), a vinicius(0.061), habla(0.055), es un(0.051), 6(0.041), y no(0.038), finally(0.022)"
241,42,"a vinicius(0.054), vinicius no(0.037), de vinicius(0.037), ahora(0.036), vinicius y(0.028), es un(0.027), cambio(0.026), de la(0.021), vestuario(0.014), penaltis(0.014)"
242,42,"4(0.601), 5(0.348), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
243,41,"more humble(0.065), interviews(0.063), should talk(0.063), a little(0.063), rather than(0.063), bhai lamine(0.053), he should(0.048), be a(0.045), the ball(0.043), field(0.034)"
244,41,"franchement(0.806), et(0.384), son(0.270), il(0.264), but(0.190), (0.000), (0.000), (0.000), (0.000), (0.000)"
245,41,"who is(0.128), head(0.075), is coming(0.066), epic(0.065), that s(0.056), eres(0.048), poli(0.039), de la(0.036), ke(0.023), bro(0.019)"
246,41,"itu(0.107), eres un(0.069), piche hai(0.059), olmo(0.051), eres(0.048), attack(0.039), meme(0.025), el codazo(0.025), ass(0.024), que tu(0.024)"
247,41,"dejen(0.240), stop(0.170), se acabo(0.126), puedes(0.124), ffs(0.111), par(0.086), mbappé(0.071), carreras(0.044), la(0.031), that(0.030)"
248,41,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
249,41,"alvarez(0.091), lewandowski(0.070), remember(0.065), replacement(0.060), we need(0.056), the best(0.047), would be(0.036), strong(0.036), captain(0.034), barca should(0.032)"
250,41,"payaso(0.258), otra(0.239), padre(0.234), de lamine(0.212), se puede(0.207), lamine no(0.170), no se(0.139), balde(0.057), t(0.023), it(0.022)"
251,41,"arbitraje(0.130), los compra(0.100), compra árbitros(0.078), los árbitros(0.051), árbitro(0.048), prensa(0.028), no saben(0.027), perder(0.025), yougotthis(0.025), vergüenza(0.018)"
252,41,"años de(0.230), a todos(0.212), gracias(0.196), congrats(0.038), congratulations(0.037), koundé(0.036), thank(0.030), end(0.027), our(0.013), de(0.009)"
253,41,"goallll(1.424), goallllll(1.008), goall(0.720), trent(0.090), midfield(0.088), my(0.054), in(0.020), over(0.020), (0.000), (0.000)"
254,41,"check(0.388), career(0.095), bs(0.050), interview(0.045), yamal(0.035), need to(0.031), post(0.028), table(0.026), offside(0.023), watch(0.017)"
255,40,"varca(0.780), negreira(0.445), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
256,40,"duela(0.486), aunque(0.468), culés(0.425), más(0.226), 5(0.174), pehle(0.016), ro(0.014), sec(0.010), raha(0.007), tha(0.006)"
257,40,"piche hai(0.121), manolo(0.058), yar(0.051), como se(0.029), que te(0.028), que lo(0.028), lama(0.026), yamal a(0.026), il est(0.023), venga(0.022)"
258,39,"https discord(0.299), discord gg(0.299), discord(0.288), https(0.258), gg(0.241), markaroni(0.239), join(0.186), at(0.061), match(0.032), (0.000)"
259,39,"madrid real(0.193), nicki nicole(0.086), is the(0.021), cr7(0.018), madrid barca(0.017), you can(0.017), madrid is(0.015), a real(0.015), link(0.012), el real(0.011)"
260,39,"me gusta(0.234), no me(0.194), you can(0.075), defend(0.074), vini no(0.070), nicki(0.059), can t(0.051), him(0.034), you(0.014), de(0.003)"
261,39,"balón de(0.106), balón(0.104), ballon d(0.098), de oro(0.097), jamás(0.087), tendrá(0.085), ballon(0.071), playa lamine(0.036), lamine pañal(0.032), balon de(0.031)"
262,39,"next match(0.053), mejor el(0.041), ahead(0.039), should play(0.029), barca should(0.029), points(0.029), laliga(0.026), madrid que(0.025), el clasico(0.023), barcelone(0.015)"
263,39,"parle(0.164), would be(0.154), here(0.109), if(0.059), mejor(0.054), il(0.053), be(0.040), negreira(0.036), real(0.023), we(0.022)"
264,39,"red(0.119), eso es(0.084), la calle(0.047), pedro(0.043), no me(0.037), clear(0.028), tamal(0.028), a la(0.026), hablan(0.025), yaar(0.025)"
265,39,"normal(0.279), es el(0.210), vergüenza(0.183), poli(0.149), q(0.134), muy(0.132), xabi(0.087), es(0.064), que(0.045), (0.000)"
266,39,"gano(0.457), quien(0.415), vini ka(0.226), ho gya(0.226), kya(0.184), gya(0.163), ho(0.088), tu(0.087), ka(0.080), yamal(0.023)"
267,38,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
268,38,"en champions(0.369), los arbitros(0.349), ladrones(0.312), champions(0.293), arbitros(0.180), sin(0.065), todo(0.031), 10(0.014), contra(0.011), not(0.008)"
269,38,"tú(0.299), sabe(0.249), por favor(0.244), favor(0.187), solo(0.145), va(0.141), si(0.098), la(0.041), que(0.026), (0.000)"
270,38,"called(0.757), man(0.343), they(0.247), me(0.149), a(0.042), (0.000), (0.000), (0.000), (0.000), (0.000)"
271,38,"frustrated(0.166), looked(0.161), the end(0.159), like that(0.123), never(0.114), de el(0.075), olmo(0.051), estaba(0.030), jugando(0.028), intention(0.018)"
272,38,"tent(0.420), arbitro(0.050), is on(0.048), pura(0.048), rest(0.047), fire(0.042), needed(0.036), link(0.034), ref(0.034), today(0.018)"
273,37,"fue y(0.308), que fue(0.265), fe(0.040), ca(0.020), comme(0.016), spam(0.015), diya(0.012), ye(0.009), kounde(0.008), pen(0.006)"
274,37,"mucho(0.888), ese(0.747), en(0.207), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
275,37,"crowd(0.135), manager(0.090), park the(0.087), bus(0.077), home(0.076), that s(0.067), still(0.047), missing(0.046), half(0.042), win(0.029)"
276,37,"mark(0.111), 20(0.084), 1(0.076), pero no(0.039), we want(0.039), enough(0.036), chahiye tha(0.035), bro(0.029), sec(0.023), 1000(0.020)"
277,37,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
278,37,"link(1.543), discord(0.204), free(0.114), va a(0.057), instagram(0.051), chahiye(0.045), see(0.045), las(0.043), please(0.042), va(0.034)"
279,37,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
280,37,"enough(0.746), been(0.493), has(0.357), today(0.274), not(0.190), (0.000), (0.000), (0.000), (0.000), (0.000)"
281,37,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
282,37,"mdr(0.378), psg(0.200), pls(0.117), nice(0.114), sell(0.101), rma(0.084), lets(0.074), missing(0.065), kounde(0.047), lamine(0.017)"
283,36,"trop(0.371), fait(0.363), pa(0.348), tan(0.245), il(0.165), en(0.078), vini(0.048), de(0.020), (0.000), (0.000)"
284,36,"decision(0.274), s not(0.245), not a(0.213), that s(0.202), a good(0.195), not(0.063), s(0.054), la(0.033), a(0.014), de(0.011)"
285,36,"footem(0.876), down(0.848), foul(0.531), on(0.201), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
286,36,"every time(0.067), lamine out(0.067), game but(0.067), the tempo(0.065), we did(0.062), took(0.062), more than(0.061), have scored(0.061), could have(0.052), performance(0.041)"
287,36,"unc(0.104), winter(0.104), defend(0.097), bon(0.096), to sign(0.091), 0(0.079), sign(0.069), pass(0.066), bc(0.053), we need(0.052)"
288,36,"madrid no(0.049), lamentable(0.027), the world(0.023), cinco(0.022), not the(0.021), this game(0.021), the end(0.020), injuries(0.020), del madrid(0.019), meter(0.014)"
289,36,"15(0.376), those(0.156), what about(0.127), soon(0.045), bro(0.040), years(0.038), minutos(0.037), we have(0.033), 0(0.020), no(0.009)"
290,36,"cr7(0.798), el chat(0.114), semenyo(0.110), e(0.100), sign(0.073), always(0.065), after(0.052), score(0.048), araujo(0.039), no(0.010)"
291,36,"less(0.584), 2 5(0.132), mentality(0.123), passing(0.121), poor(0.121), mastantuono(0.106), balde(0.083), club(0.065), hablar(0.057), la(0.016)"
292,36,"doesn t(0.062), shirt(0.060), hattrick(0.053), the ball(0.049), to score(0.048), celebrate(0.048), who can(0.044), fans(0.034), watch(0.026), jajajajaja(0.026)"
293,36,"equipos(0.074), hablando(0.048), team(0.047), y no(0.035), acabo(0.031), equipo(0.025), sale(0.020), el partido(0.020), todo el(0.020), these(0.017)"
294,36,"mt(0.109), pedri ko(0.090), dega(0.048), ball(0.048), refree(0.037), sakta(0.036), mundial(0.034), han hecho(0.032), bus(0.030), jugando(0.026)"
295,35,"card(0.190), ko red(0.054), fair(0.029), was not(0.026), card red(0.026), karta(0.024), the world(0.024), refree(0.021), fake(0.018), miss(0.014)"
296,35,"un equipo(0.403), muchos(0.384), es que(0.335), les(0.233), equipo(0.156), es(0.089), un(0.088), que(0.032), de(0.016), (0.000)"
297,35,"pray(0.228), we don(0.213), that we(0.174), i ll(0.169), don t(0.102), now(0.088), off(0.087), your(0.084), xabi(0.067), for(0.038)"
298,35,"with you(0.097), bhai last(0.053), words(0.049), 4 el(0.049), i was(0.044), i can(0.038), madrid el(0.032), scored(0.030), zee bhai(0.028), lost(0.028)"
299,35,"sad(0.141), hasta que(0.074), farsa(0.060), que el(0.051), vardrid(0.040), still(0.040), barsa(0.027), more(0.023), ka(0.023), 1(0.011)"
300,35,"vini was(0.061), jugador(0.052), was the(0.045), this match(0.043), the most(0.021), shirt(0.021), coach(0.021), attacking(0.020), de la(0.020), won t(0.020)"
301,35,"no está(0.440), lama(0.385), en la(0.226), está(0.194), ya(0.135), en(0.069), no(0.039), a(0.023), (0.000), (0.000)"
302,35,"a yamal(0.089), valverde(0.084), pasa(0.065), prime(0.039), he has(0.038), has to(0.037), celebrate(0.036), move(0.035), don t(0.021), now(0.018)"
303,34,"offside(1.029), side(0.082), yarr(0.072), working(0.067), that s(0.054), new(0.050), clear(0.044), this is(0.035), today(0.024), 5(0.019)"
304,34,"injured(0.424), what if(0.117), beat(0.115), acting(0.107), barca is(0.103), olmo(0.086), bring(0.079), up(0.056), bro(0.031), real(0.018)"
305,34,"está(0.583), es(0.296), de(0.053), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
306,34,"foot(0.288), toi(0.245), vas(0.242), avec(0.230), ta(0.215), que le(0.178), je(0.149), pour(0.139), yamal(0.025), que(0.023)"
307,34,"bring(0.229), el partido(0.226), a la(0.205), partido(0.154), back(0.138), la(0.045), and(0.040), a(0.038), y(0.034), el(0.024)"
308,34,"on a(0.167), sad(0.162), baby(0.156), acting(0.149), like a(0.149), touche(0.142), sur le(0.132), vini is(0.118), vinicius(0.055), is(0.018)"
309,34,"red card(0.135), pedri(0.090), received(0.074), rest(0.065), his career(0.063), first red(0.047), first(0.036), should have(0.017), zee bhai(0.016), he could(0.012)"
310,34,"to barca(0.037), talent(0.037), his career(0.033), is coming(0.033), yamal but(0.032), deserve(0.032), ego and(0.031), i would(0.031), wins(0.030), fan(0.023)"
311,34,"wizard(0.290), wand(0.290), turquoise wizard(0.290), wizard wand(0.290), person turquoise(0.209), de el(0.155), person(0.112), turquoise(0.080), rashy(0.064), vamos(0.055)"
312,34,"el robo(0.035), madrid que(0.034), trampas(0.029), el real(0.023), no lo(0.023), negreira(0.022), pero(0.022), tenéis(0.019), ni robando(0.018), que fue(0.017)"
313,33,"s go(0.310), home(0.264), you are(0.234), let s(0.200), go(0.166), min(0.149), back(0.117), are(0.083), bro(0.077), 1(0.043)"
314,33,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
315,33,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
316,33,"kings(0.052), real(0.045), tiene que(0.044), chavales(0.036), a lamine(0.033), robando(0.031), gana el(0.029), show(0.025), el real(0.023), que no(0.021)"
317,33,"le real(0.102), 2 pour(0.098), 4 3(0.092), real(0.084), 5 2(0.041), 3 2(0.032), 7 1(0.024), huijsen(0.020), a 1(0.019), 2 0(0.018)"
318,33,"こんばんは(1.926), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
319,33,"hujisen(0.375), injury(0.359), dean(0.299), performance(0.268), comeback(0.261), after(0.203), a good(0.097), back(0.050), feel(0.032), remontada(0.026)"
320,33,"maja(0.147), gya(0.092), sahi(0.074), madriddd(0.074), nada mas(0.049), rm(0.047), live(0.041), 8(0.037), score(0.033), bro(0.019)"
321,33,"hand ball(0.767), ball(0.317), balon(0.070), de juego(0.037), last season(0.037), last(0.022), season(0.022), pen(0.015), gol(0.009), no(0.005)"
322,33,"madrid y(0.056), nada mas(0.054), el madrid(0.030), mas hala(0.028), perdonando(0.019), el de(0.017), todo el(0.017), los árbitros(0.017), madre(0.017), tres(0.016)"
323,32,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
324,32,"pls(0.938), bro(0.500), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
325,32,"up the(0.366), would be(0.349), gap(0.344), hard(0.281), very(0.264), would(0.199), table(0.192), up(0.164), be(0.092), it(0.089)"
326,32,"hala madridddd(0.069), madrid hala(0.053), respect for(0.032), bus(0.029), subs(0.023), cooked(0.019), madrid madrid(0.014), love(0.013), varca(0.013), 1(0.005)"
327,32,"hi(1.807), ai(0.130), hai(0.023), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
328,32,"insta(2.798), inshallah(0.256), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
329,32,"forget(0.118), room(0.062), hasta que(0.062), que pena(0.061), sabeis(0.059), perder(0.057), champions(0.045), year(0.043), won(0.033), us(0.031)"
330,32,"text green(0.084), green game(0.084), game over(0.084), trophy yellow(0.004), smiling trophy(0.003), smiling text(0.002), for barca(0.002), yellow(0.002), vs(0.001), madrid(0.000)"
331,32,"123(0.624), años(0.406), robando(0.395), razón(0.366), lamine tiene(0.344), tiene(0.182), lamine(0.056), (0.000), (0.000), (0.000)"
332,31,"educación(0.469), masterclass(0.219), tenéis(0.121), was a(0.110), move(0.089), i think(0.066), respeto(0.054), camavinga(0.034), incoming(0.027), was top(0.019)"
333,31,"lol(2.126), a(0.007), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
334,31,"stream(0.715), drop(0.230), au(0.200), spam(0.179), réal(0.173), kiya(0.162), contra(0.086), bro(0.062), that(0.061), no(0.022)"
335,31,"better than(0.228), midfield(0.213), defenders(0.070), the best(0.047), defence is(0.044), rest(0.040), top(0.021), barca s(0.013), we did(0.011), played(0.009)"
336,31,"wanted(0.960), window(0.886), january(0.839), we(0.137), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
337,31,"expected(0.087), high(0.084), as well(0.084), outside(0.084), to get(0.082), amazing(0.081), xd(0.074), aura(0.073), solo(0.037), gol de(0.025)"
338,31,"negros(0.132), gagné(0.128), des(0.097), asco(0.089), bellingham(0.059), 2 1(0.052), xavi(0.044), contra el(0.032), vinicius(0.021), real(0.018)"
339,31,"whistling cat(0.284), orange whistling(0.281), orange(0.065), whistling face(0.012), le réal(0.006), smiling text(0.005), person turqouise(0.003), turqouise waving(0.003), face blue(0.002), green game(0.002)"
340,31,"1 goal(0.067), gol del(0.045), come(0.028), scored(0.022), madrid 4(0.020), 6 7(0.019), those(0.019), de madrid(0.019), one(0.019), the win(0.019)"
341,31,"vini is(0.301), con vinicius(0.299), back(0.224), prime(0.128), old(0.099), vinicius(0.094), coming(0.093), varca(0.058), good(0.045), are(0.040)"
342,31,"manolo(0.094), en la(0.050), final(0.049), substitution(0.031), mappe(0.030), whats(0.029), making(0.028), with the(0.026), dekho(0.024), no hay(0.022)"
343,31,"bernabeu(0.153), años de(0.114), 123(0.087), en el(0.074), robo(0.052), bastardo soto(0.051), crazy(0.044), corruptos(0.040), compra(0.039), arbitros(0.026)"
344,31,"balls(0.360), he has(0.305), doesn t(0.296), doesn(0.296), because(0.264), need(0.134), t(0.094), he(0.066), 2(0.052), lamine(0.048)"
345,31,"red penalty(0.201), card red(0.200), penalty card(0.199), card(0.182), penalty(0.135), red(0.083), para(0.004), (0.000), (0.000), (0.000)"
346,30,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
347,30,"años que(0.093), room(0.090), ha pasado(0.088), se ha(0.078), habla(0.063), el barça(0.057), refree(0.033), bro this(0.023), received(0.023), arbitre(0.021)"
348,30,"goallllll(0.672), take(0.349), vamos(0.121), vini(0.063), the(0.056), a(0.035), (0.000), (0.000), (0.000), (0.000)"
349,30,"ring(0.370), purple ring(0.370), planet orange(0.370), planet(0.370), orange purple(0.370), whats(0.108), purple(0.073), orange(0.062), the(0.010), v(0.009)"
350,30,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
351,30,"table(0.765), table time(0.634), time(0.298), la liga(0.032), top(0.023), liga(0.023), about(0.022), of the(0.019), bhai(0.014), la(0.006)"
352,30,"robbery(1.955), clean(0.083), started(0.081), liverpool(0.069), doing(0.057), bro(0.046), this is(0.045), who(0.034), with(0.030), barca(0.009)"
353,30,"league(0.142), champions(0.040), años que(0.038), check(0.037), king(0.032), los clásicos(0.031), mucho(0.025), ladrones(0.023), que no(0.022), table(0.020)"
354,30,"(0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
355,30,"referee(0.457), white(0.063), vardrid(0.059), post match(0.045), interviews(0.043), take on(0.023), players(0.022), passing(0.020), hua(0.018), rigged(0.018)"
356,30,"viniiiiii(0.631), trent(0.443), fede(0.291), ou(0.237), sub(0.196), bring(0.194), 7(0.184), est(0.094), and(0.068), a(0.016)"
357,30,"madrid madrid(0.794), madrid(0.080), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000), (0.000)"
358,30,"vamoss(0.689), vamosss(0.578), viva(0.323), vamos vamos(0.247), va(0.221), vamos(0.189), van(0.071), (0.000), (0.000), (0.000)"
359,30,"playing good(0.165), was playing(0.141), was good(0.106), bhai vini(0.081), vini was(0.059), save(0.052), de jong(0.037), i would(0.026), pedri and(0.026), prime(0.024)"
360,30,"it was(0.206), hay que(0.177), poli(0.149), hay(0.114), if(0.105), se(0.071), it(0.070), que(0.068), was(0.053), a(0.030)"
