event_A,event_B,broadcaster_A,broadcaster_B,category,combined_score,embedding_similarity,topic_jaccard,lexical_similarity
5,6,Brazil,Brazil,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Brazil,Japan_abema,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Brazil,Japan_goat,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Brazil,UK,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,Brazil,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,Japan_abema,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,Japan_goat,Same Language (Japan),0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_abema,UK,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,Brazil,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,Japan_abema,Same Language (Japan),0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,Japan_goat,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,Japan_goat,UK,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,Brazil,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,Japan_abema,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,Japan_goat,Cross-Culture,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
5,6,UK,UK,Same Broadcaster,0.6703294078509013,0.933803915977478,0.0833333333333333,0.0
56,59,Brazil,Brazil,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Brazil,Japan_abema,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Brazil,Japan_goat,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Brazil,UK,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,Brazil,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,Japan_abema,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,Japan_goat,Same Language (Japan),0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_abema,UK,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,Brazil,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,Japan_abema,Same Language (Japan),0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,Japan_goat,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,Japan_goat,UK,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,Brazil,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,Japan_abema,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,Japan_goat,Cross-Culture,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
56,59,UK,UK,Same Broadcaster,0.9403879901282566,0.9169028997421264,1.0,0.2446254239382084
5,73,Brazil,Brazil,Same Broadcaster,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Brazil,Japan_abema,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Brazil,Japan_goat,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Brazil,UK,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,Brazil,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,Japan_abema,Same Broadcaster,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,Japan_goat,Same Language (Japan),0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_abema,UK,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,Brazil,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,Japan_abema,Same Language (Japan),0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,Japan_goat,Same Broadcaster,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,Japan_goat,UK,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,UK,Brazil,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,UK,Japan_abema,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,UK,Japan_goat,Cross-Culture,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
5,73,UK,UK,Same Broadcaster,0.5609702322803892,0.7171880006790161,0.2109704641350211,0.1674453897807372
50,73,Brazil,Brazil,Same Broadcaster,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Brazil,Japan_abema,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Brazil,Japan_goat,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Brazil,UK,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_abema,Brazil,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_abema,Japan_abema,Same Broadcaster,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_abema,Japan_goat,Same Language (Japan),0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_abema,UK,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_goat,Brazil,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_goat,Japan_abema,Same Language (Japan),0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_goat,Japan_goat,Same Broadcaster,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,Japan_goat,UK,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,UK,Brazil,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,UK,Japan_abema,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,UK,Japan_goat,Cross-Culture,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
50,73,UK,UK,Same Broadcaster,0.5082690147912329,0.7021778225898743,0.0,0.1674453897832087
34,70,Brazil,Brazil,Same Broadcaster,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Brazil,Japan_abema,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Brazil,Japan_goat,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Brazil,UK,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_abema,Brazil,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_abema,Japan_abema,Same Broadcaster,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_abema,Japan_goat,Same Language (Japan),0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_abema,UK,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_goat,Brazil,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_goat,Japan_abema,Same Language (Japan),0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_goat,Japan_goat,Same Broadcaster,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,Japan_goat,UK,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,UK,Brazil,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,UK,Japan_abema,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,UK,Japan_goat,Cross-Culture,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
34,70,UK,UK,Same Broadcaster,0.4770160464509267,0.6575307250022888,0.0,0.167445389493246
6,73,Brazil,Brazil,Same Broadcaster,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Brazil,Japan_abema,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Brazil,Japan_goat,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Brazil,UK,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_abema,Brazil,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_abema,Japan_abema,Same Broadcaster,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_abema,Japan_goat,Same Language (Japan),0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_abema,UK,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_goat,Brazil,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_goat,Japan_abema,Same Language (Japan),0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_goat,Japan_goat,Same Broadcaster,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,Japan_goat,UK,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,UK,Brazil,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,UK,Japan_abema,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,UK,Japan_goat,Cross-Culture,0.4121806204319,0.5888294577598572,0.0,0.0
6,73,UK,UK,Same Broadcaster,0.4121806204319,0.5888294577598572,0.0,0.0
5,50,Brazil,Brazil,Same Broadcaster,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Brazil,Japan_abema,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Brazil,Japan_goat,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Brazil,UK,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_abema,Brazil,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_abema,Japan_abema,Same Broadcaster,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_abema,Japan_goat,Same Language (Japan),0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_abema,UK,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_goat,Brazil,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_goat,Japan_abema,Same Language (Japan),0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_goat,Japan_goat,Same Broadcaster,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,Japan_goat,UK,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,UK,Brazil,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,UK,Japan_abema,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,UK,Japan_goat,Cross-Culture,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
5,50,UK,UK,Same Broadcaster,0.4270325092676507,0.5861256718635559,0.0,0.1674453896316161
6,50,Brazil,Brazil,Same Broadcaster,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Brazil,Japan_abema,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Brazil,Japan_goat,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Brazil,UK,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_abema,Brazil,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_abema,Japan_abema,Same Broadcaster,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_abema,Japan_goat,Same Language (Japan),0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_abema,UK,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_goat,Brazil,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_goat,Japan_abema,Same Language (Japan),0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_goat,Japan_goat,Same Broadcaster,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,Japan_goat,UK,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,UK,Brazil,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,UK,Japan_abema,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,UK,Japan_goat,Cross-Culture,0.3626494050025939,0.5180705785751343,0.0,0.0
6,50,UK,UK,Same Broadcaster,0.3626494050025939,0.5180705785751343,0.0,0.0
70,73,Brazil,Brazil,Same Broadcaster,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Brazil,Japan_abema,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Brazil,Japan_goat,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Brazil,UK,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_abema,Brazil,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_abema,Japan_abema,Same Broadcaster,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_abema,Japan_goat,Same Language (Japan),0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_abema,UK,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_goat,Brazil,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_goat,Japan_abema,Same Language (Japan),0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_goat,Japan_goat,Same Broadcaster,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,Japan_goat,UK,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,UK,Brazil,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,UK,Japan_abema,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,UK,Japan_goat,Cross-Culture,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
70,73,UK,UK,Same Broadcaster,0.3770861474954011,0.5147737264633179,0.0,0.1674453897107866
5,70,Brazil,Brazil,Same Broadcaster,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Brazil,Japan_abema,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Brazil,Japan_goat,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Brazil,UK,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_abema,Brazil,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_abema,Japan_abema,Same Broadcaster,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_abema,Japan_goat,Same Language (Japan),0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_abema,UK,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_goat,Brazil,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_goat,Japan_abema,Same Language (Japan),0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_goat,Japan_goat,Same Broadcaster,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,Japan_goat,UK,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,UK,Brazil,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,UK,Japan_abema,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,UK,Japan_goat,Cross-Culture,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
5,70,UK,UK,Same Broadcaster,0.3739981950440519,0.5031362771987915,0.0171821305841924,0.1836637488805944
50,70,Brazil,Brazil,Same Broadcaster,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Brazil,Japan_abema,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Brazil,Japan_goat,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Brazil,UK,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_abema,Brazil,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_abema,Japan_abema,Same Broadcaster,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_abema,Japan_goat,Same Language (Japan),0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_abema,UK,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_goat,Brazil,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_goat,Japan_abema,Same Language (Japan),0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_goat,Japan_goat,Same Broadcaster,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,Japan_goat,UK,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,UK,Brazil,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,UK,Japan_abema,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,UK,Japan_goat,Cross-Culture,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
50,70,UK,UK,Same Broadcaster,0.3458781985719731,0.470190942287445,0.0,0.167445389707616
6,70,Brazil,Brazil,Same Broadcaster,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Brazil,Japan_abema,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Brazil,Japan_goat,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Brazil,UK,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_abema,Brazil,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_abema,Japan_abema,Same Broadcaster,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_abema,Japan_goat,Same Language (Japan),0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_abema,UK,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_goat,Brazil,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_goat,Japan_abema,Same Language (Japan),0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_goat,Japan_goat,Same Broadcaster,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,Japan_goat,UK,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,UK,Brazil,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,UK,Japan_abema,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,UK,Japan_goat,Cross-Culture,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,70,UK,UK,Same Broadcaster,0.3243629337015731,0.4554829597473144,0.0276243093922651,0.0
6,59,Brazil,Brazil,Same Broadcaster,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Brazil,Japan_abema,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Brazil,Japan_goat,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Brazil,UK,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_abema,Brazil,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_abema,Japan_abema,Same Broadcaster,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_abema,Japan_goat,Same Language (Japan),0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_abema,UK,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_goat,Brazil,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_goat,Japan_abema,Same Language (Japan),0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_goat,Japan_goat,Same Broadcaster,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,Japan_goat,UK,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,UK,Brazil,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,UK,Japan_abema,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,UK,Japan_goat,Cross-Culture,0.315089863538742,0.4501283764839172,0.0,0.0
6,59,UK,UK,Same Broadcaster,0.315089863538742,0.4501283764839172,0.0,0.0
59,70,Brazil,Brazil,Same Broadcaster,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Brazil,Japan_abema,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Brazil,Japan_goat,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Brazil,UK,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_abema,Brazil,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_abema,Japan_abema,Same Broadcaster,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_abema,Japan_goat,Same Language (Japan),0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_abema,UK,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_goat,Brazil,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_goat,Japan_abema,Same Language (Japan),0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_goat,Japan_goat,Same Broadcaster,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,Japan_goat,UK,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,UK,Brazil,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
59,70,UK,Japan_abema,Cross-Culture,0.3575839343689652,0.449672520160675,0.0,0.16744538961737
