cpm,avg_comment_length,emoji_rate,entropy,total_comments,duration_minutes,match,stream_source,tier,importance_score
63.7669926703063,40.24005410566518,12.189688096753661,10.300335916214152,12568,197.0925626833333,Brazil_vs_Japan,Bra,2,8
59.081014669480986,15.830787693650448,99.45450578223871,11.49020212838148,9166,155.14290083333333,Brazil_vs_Japan,Ja_abema,2,8
61.20912504425272,14.034231962761831,99.5733126454616,12.134443980509612,10312,168.4716125666667,Brazil_vs_Japan,Ja_goat,2,8
62.87149696001871,31.41304347826087,10.453569511540527,10.298381692551299,7452,118.52747843333333,Brazil_vs_Japan,UK,2,8
74.69607553286808,36.07039878593711,6.972430655088104,10.402589039563379,11861,158.79013609999998,Brighton_vs_Man_City,Brighton v Man City LIVE Watchalong!_chat_log,3,5
72.22620750980984,39.18017436228608,4.929501668281133,10.126119581325467,9291,128.63751704999999,Brighton_vs_Man_City,Brighton vs Man City LIVE Premier League WATCHALONG_chat_log,3,5
73.8640478239605,42.57998963193364,12.8149300155521,10.511029815900459,9645,130.57773415,Brighton_vs_Man_City,Brighton vs. Manchester City _ LIVE Premier League Watch Along with @RantsNBantsClips_chat_log,3,5
73.2819141852953,30.538033593666416,8.719375200599123,10.624110731979652,9347,127.54852413333333,Brighton_vs_Man_City,Super Sunday LIVE_ Brighton vs Man City _ Nottingham Forest LIVE Premier League Watch Along_chat_log,3,5
71.596736346529,32.79251277800801,7.431965741124465,9.329560514544497,7239,101.10796063333333,Brighton_vs_Man_City,Watch My Brother LIVE! - Brighton vs Man City Stream_chat_log,3,5
74.91568919732045,11.437244376278118,99.3737218813906,11.969938353745373,7824,104.43740268333333,Brighton_vs_Man_City,【プレミア第3節】ブライトンvsマンチェスターシティ雑談配信（映像なし）_chat_log,3,5
73.94869263618331,11.268636599274235,98.93208916537066,11.43614025468168,9645,130.42826933333333,Brighton_vs_Man_City,【同時視聴】プレミアリーグ25-26シーズン第3節 ブライトンVSマンチェスターC見るぞ！！！！【※試合映像無し】_chat_log,3,5
10.622414950217784,16.003355704697988,98.99328859060402,8.195485314458775,298,28.0538843,Brighton_vs_Man_City,三笘スタメン🇯🇵ブライトン×ボーンマス＆久保建英所属🇯🇵ソシエダ×レアルマドリー【２試合同時リアルタイム分析】※雑談もします_LACSXJ1WkOU_chat_log,3,5
65.45615901909333,30.30167032225409,12.569596760587142,10.455702827685656,5927,90.5491567,Leeds_vs_Spurs,LEEDS VS TOTTENHAM LIVE _ PREMIER LEAGUE WATCHALONG with EXPRESSIONS_chat_log,4,3
70.29584532801161,40.94179810725552,3.5962145110410093,9.919185621664255,6340,90.19025193333333,Leeds_vs_Spurs,LEEDS VS TOTTENHAM _ THE CLUB LIVE_chat_log,4,3
66.57924013630468,35.40456026058632,8.436482084690553,10.136417080377104,6140,92.22093835000001,Leeds_vs_Spurs,Leeds United vs Tottenham Hotspur LIVE Watchalong _ Premier League 2025_26_chat_log,4,3
59.686832058499405,22.855370551746653,99.06953966699315,9.338619761346376,6126,102.63570353333333,Leeds_vs_Spurs,高井幸大所属🇯🇵スパーズ×田中碧所属🇯🇵リーズ【リアルタイム分析】※雑談もします_chat_log,4,3
54.48865303052138,37.50165605095541,10.484076433121018,8.773621117743527,7850,144.06669211666667,PSG_vs_Inter_Miami,PSG_IntelMiami_France,4,2
65.75910453096252,44.22852493316285,17.005695687550855,9.901872407386183,8603,130.82599073333333,PSG_vs_Inter_Miami,PSG_IntelMiami_India,4,2
24.973279864510094,30.262842465753426,7.641267123287671,10.661581847570742,4672,187.07995206666666,Real_Madrid_vs_Barcelona,REAL MADRID VS BARCELONA _ EL CLASICO LIVE REACTION!_chat_log,1,10
26.669543971434322,32.8067105804858,10.436393577603953,10.24771338662691,4858,182.15534563333333,Real_Madrid_vs_Barcelona,REAL MADRID VS FC BARCELONA EN DIRECTO _ EL CLÁSICO _ LALIGA _ Tiempo de Juego COPE _ EN VIVO_chat_log,1,10
29.73912288101705,49.568209500609015,10.109622411693058,10.505975529976546,6568,220.85385726666667,Real_Madrid_vs_Barcelona,Real Madrid vs Barcelona El Clasico Watchalong LaLiga LIVE _ TFHD_chat_log,1,10
22.015674254001546,34.865212121212124,13.357575757575757,10.561626613833639,4125,187.36650771666666,Real_Madrid_vs_Barcelona,Real Madrid vs Barcelona _ La Liga LIVE WATCHALONG_chat_log,1,10
29.297992149901727,25.85790947270182,11.012599160055997,10.542232862753401,4286,146.28988833333332,Real_Madrid_vs_Barcelona,Real Madrid vs Barcelona _EL CLASICO_ Laliga 2025 Live Reaction_chat_log,1,10
26.724618462912005,26.58809523809524,25.925925925925924,9.630061958165864,3780,141.44261798333335,Real_Madrid_vs_Barcelona,⏱️ MINUTO A MINUTO _ Real Madrid vs Barcelona _ El Clásico_chat_log,1,10
27.835647699808156,50.722830665543384,13.007582139848356,9.591653592732637,5935,213.21580385000001,Real_Madrid_vs_Barcelona,⚽️ REAL MADRID vs FC BARCELONA _ #LaLiga 25_26 - Jornada 10 _ 'EL CLÁSICO' EN DIRECTO_chat_log,1,10
26.806132048006855,16.46903254972875,99.59312839059675,8.712953568255724,4424,165.03686514999998,Real_Madrid_vs_Barcelona,【LIVE分析】レアルマドリードvsバルセロナ　▷ラ・リーガ｜第10節　エルクラシコ_chat_log,1,10
11.481898935767564,15.700123660346248,98.45424567188789,8.499698016069196,4852,422.5781839,Real_Madrid_vs_Barcelona,【エルクラシコ】レアルマドリード×バルセロナ 0_15キックオフ リアルタイム戦術分析_chat_log,1,10
25.82002068558357,36.941492079713846,9.734287174246296,10.036543860514952,3914,151.5877949,Real_Madrid_vs_Barcelona,🔴 REAL MADRID - BARCELONE LIVE _ 🚨LE CLASICO POUR LA 1ERE PLACE ! _ 🔥PLACE AU SPECTACLE ! _ LIGA_chat_log,1,10
11.191736261641433,31.498687664041995,4.4619422572178475,8.850454959266143,381,34.0429752,Real_Sociedad_vs_Real_Madrid,⚽JORNADA 4 LaLiga - Real Sociedad 🆚 Real Madrid 🔥_eB2XtdJ52ao_chat_log,3,5
22.948593883804392,26.63053097345133,11.504424778761061,8.196388177370313,452,19.696195866666667,Real_Sociedad_vs_Real_Madrid,✅ Real Sociedad vs Real Madrid [En Vivo] 🏆 La Liga de España - Jornada 4_0fOOZ2_53_0_chat_log,3,5
82.8782141542293,32.723654454997735,8.860759493670885,9.815876563836497,2212,26.689764283333332,Real_Sociedad_vs_Real_Madrid,🔴 REAL SOCIEDAD - REAL MADRID LIVE _ 🔥MBAPPE EN GRANDE FORME ! L'AVANT LDC CONTRE L'OM 👀😂 _ LIGA_w3ZOQ3PcF6M_chat_log,3,5
